SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
MLS Listing,Single Family Residential,11 Shinyrock Pl,The Woodlands,TX,77381,314900,4,2.5,The Woodlands Cochrans Cross,2652,8838,1990,3,Garage,191,Active,,,,2016-01-23,335000,2015-04-08,255000.0,http://www.redfin.com/TX/Spring/11-Shinyrock-Pl-77381/home/33223065,Houston Association of Realtors Multiple Listing Service (HARMLS),87709100,Keller Williams Realty The Woodlands,N,Y,30.181198,-95.524054,false
MLS Listing,Single Family Residential,194 Black Swan Pl,The Woodlands,TX,77354,299900,4,2.5,The Woodlands Sterling Ridge,2726,6207,2009,2,Garage,162,Active,,,,2015-09-18,305000,,,http://www.redfin.com/TX/Magnolia/194-Black-Swan-Pl-77354/home/32707201,Houston Association of Realtors Multiple Listing Service (HARMLS),61208724,Keller Williams Realty The Woodlands,N,Y,30.179594,-95.5916699,false
MLS Listing,Single Family Residential,267 New Harmony Trl,The Woodlands,TX,77389,305000,4,2.5,The Woodlands Creekside Park,2167,8767,2013,2,Garage,86,Active,,,,2016-01-18,315000,2013-08-15,271415.0,http://www.redfin.com/TX/Spring/267-New-Harmony-Trl-77389/home/45449639,Houston Association of Realtors Multiple Listing Service (HARMLS),92102121,Century 21 Realty Partners,N,Y,30.1391143,-95.536348,false
MLS Listing,Single Family Residential,55 Hearthshire Cir,The Woodlands,TX,77354,389900,4,3.5,The Woodlands Sterling Ridge,3762,7294,2013,3,Garage,86,Active,,,,2016-01-15,419000,,,http://www.redfin.com/TX/Magnolia/55-Hearthshire-Cir-77354/home/40337415,Houston Association of Realtors Multiple Listing Service (HARMLS),60259484,Tamborrel Properties,N,Y,30.1753978729248,-95.5931549072266,false
MLS Listing,Single Family Residential,14 Carmeline Dr,The Woodlands,TX,77382,449900,4,3.5,The Woodlands Sterling Ridge,3365,8652,2005,2,Garage,57,Active,,,,2016-01-19,479900,2013-03-20,449000.0,http://www.redfin.com/TX/Spring/14-Carmeline-Dr-77382/home/32584911,Houston Association of Realtors Multiple Listing Service (HARMLS),41418845,Heritage Texas Properties,N,Y,30.182214,-95.572079,false
MLS Listing,Single Family Residential,30 Gilmore Grove Pl,The Woodlands,TX,77382,349000,4,2.5,The Woodlands,2389,10187,2005,2,Garage,5,Active,,,,,349000,2011-07-12,218000.0,http://www.redfin.com/TX/The-Woodlands/30-Gilmore-Grove-Pl-77382/home/32611480,Houston Association of Realtors Multiple Listing Service (HARMLS),33370046,Texas United Realty,N,Y,30.184943,-95.580049,false
MLS Listing,Single Family Residential,102 Cezanne Woods Dr,The Woodlands,TX,77382,459900,4,3.5,The Woodlands,3405,8982,2004,3,Garage,120,Active,,,,2016-01-25,474900,,,http://www.redfin.com/TX/Spring/102-Cezanne-Woods-Dr-77382/home/32535894,Houston Association of Realtors Multiple Listing Service (HARMLS),15717749,Keller Williams Realty The Woodlands,N,Y,30.180358,-95.575187,false
MLS Listing,Single Family Residential,127 Almondell Cir,The Woodlands,TX,77354,429000,4,3.5,The Woodlands Sterling Ridge,3363,9550,2009,3,Garage,26,Active,2016-01-31,13:00,16:00,,429000,2012-06-01,375000.0,http://www.redfin.com/TX/Magnolia/127-N-Almondell-Cir-77354/home/32707537,Houston Association of Realtors Multiple Listing Service (HARMLS),10139576,Keller Williams Realty The Woodlands,N,Y,30.1723,-95.593093,false
MLS Listing,Single Family Residential,2 Degas Park,The Woodlands,TX,77382,475000,4,3.5,The Woodlands Sterling Ridge,3199,8944,2004,3,Garage,136,Active,,,,2016-01-27,515000,,,http://www.redfin.com/TX/Spring/2-Degas-Park-Dr-77382/home/32535942,Houston Association of Realtors Multiple Listing Service (HARMLS),79844220,RE/MAX The Woodlands & Spring,N,Y,30.180612,-95.57543,false
MLS Listing,Single Family Residential,58 W Frontera,The Woodlands,TX,77382,345000,4,3.0,Wdlnds Village Sterling Ridg,3324,7684,2007,3,Garage,57,Active,,,,2016-01-27,360000,2011-08-02,278000.0,http://www.redfin.com/TX/The-Woodlands/58-W-Frontera-Cir-77382/home/32637623,Houston Association of Realtors Multiple Listing Service (HARMLS),25218273,RE/MAX The Woodlands & Spring,N,Y,30.183334,-95.586977,false
MLS Listing,Single Family Residential,82 Hearthshire Cir,The Woodlands,TX,77354,349999,4,3.5,The Woodlands Sterling Ridge,3285,6987,2013,2,Garage,5,Active,2016-01-30,13:00,16:00,,349999,,,http://www.redfin.com/TX/Magnolia/82-Hearthshire-Cir-77354/home/40337306,Houston Association of Realtors Multiple Listing Service (HARMLS),26946427,Keller Williams Realty The Woodlands,N,Y,30.1746845245361,-95.5939407348633,false
MLS Listing,Single Family Residential,19 Caulfield Ct,The Woodlands,TX,77382,575000,4,4.0,The Woodlands Sterling Ridge,3330,10459,2005,3,Garage,3,Active,,,,,575000,2014-05-23,530000.0,http://www.redfin.com/TX/The-Woodlands/19-Caulfield-Ct-77382/home/32611545,Houston Association of Realtors Multiple Listing Service (HARMLS),43410224,RE/MAX The Woodlands & Spring,N,Y,30.177898,-95.582814,false
MLS Listing,Single Family Residential,178 E Spindle Tree Cir,The Woodlands,TX,77382,344900,4,2.5,Wdlnds Village Sterling Ridg,2440,7667,2007,2,Garage,2,Active,,,,,344900,2013-07-25,250000.0,http://www.redfin.com/TX/Spring/178-E-Spindle-Tree-Cir-77382/home/32642569,Houston Association of Realtors Multiple Listing Service (HARMLS),74024181,Keller Williams Realty Conroe,N,Y,30.178071,-95.585109,false
MLS Listing,Single Family Residential,24 Cordella Pl,The Woodlands,TX,77382,419900,4,3.5,Sterling Ridge,3333,11839,2006,3,Garage,192,Active,,,,2015-11-23,424900,,,http://www.redfin.com/TX/The-Woodlands/24-Cordella-Pl-77382/home/32586981,Houston Association of Realtors Multiple Listing Service (HARMLS),25678569,"Weichert, REALTORS - Wayne Murray Properties",N,Y,30.17551,-95.581666,false
